,iloc,distance
0,4,1.2580205575473913
1,1,2.6422110951803632
2,3,3.4798334553529413
3,4,1.8308841988451077
4,4,1.4232380785312355
5,3,2.1883305427828925
6,2,4.098707777966591
7,3,1.9264306062869299
8,4,1.7685913443968904
9,4,2.6979754410613004
10,3,2.0776980308113973
11,4,1.5096466646510935
12,3,1.7601121570748852
13,3,1.855494513300222
14,4,1.4877045376405196
15,1,3.4387020523806653
16,4,3.011986712312939
17,4,2.139761211620549
18,3,2.951767007831186
19,3,5.566697174573777
20,3,5.93779841302751
21,2,3.8954685392507407
22,3,2.2783300356823
23,1,4.716566262585758
24,1,2.833672887516639
25,3,1.9028762561775974
26,4,1.4602736458647383
27,3,2.1226639658821167
28,1,2.8900139244042946
29,4,2.0160057774951237
30,1,5.945475007038164
31,3,1.9701321730904915
32,1,3.321469754345308
33,3,3.0787339770202578
34,0,5.709824875081727
35,4,1.3429015813519052
36,1,3.112299510627372
37,3,2.9774190023919456
38,1,1.915110736223726
39,1,6.683162688035634
40,4,1.8326049327326805
41,3,2.536585652843395
42,4,2.0602828850528074
43,4,1.3920106409211799
44,3,2.82498746879491
45,4,1.5359157745896754
46,4,3.030053413020644
47,1,2.5723022956326815
48,3,3.8904279574424643
49,4,1.1067820072363217
50,1,5.50439080150474
51,3,2.180144817640944
52,4,1.4015106890734228
53,3,3.4331439353642224
54,3,2.397385555989702
55,4,1.813878805820334
56,4,2.3729082900435015
57,2,3.6432806557535007
58,4,1.9386768090808766
59,1,2.686070087049124
60,4,1.6330075860063615
61,4,1.412750602634069
62,1,2.704930464529852
63,4,3.214384874326902
64,3,3.1860137414672494
65,4,1.9394659275700594
66,4,2.7572126557814864
67,4,2.0375072298173404
68,3,2.9519082826670413
69,4,1.8842201900891529
70,3,3.2719437986282087
71,1,14.745924240993988
72,4,3.0707712428765124
73,4,2.0562441646999328
74,4,1.3781620175509703
75,3,2.857343775248521
76,3,3.807973155238981
77,3,1.8908468206155662
78,4,3.5834070985007926
79,1,2.467147865891038
80,3,1.384495784664025
81,4,3.18438233986938
82,4,3.066313816038694
83,3,3.6053660155848553
84,2,3.8309559847333725
85,3,5.2444126268138245
86,1,4.490904365429295
87,1,5.144259688925308
88,4,1.875123254873268
89,1,1.9237005427323974
90,2,6.060837516099996
91,1,3.0711069824241526
92,4,1.198731557050483
93,4,1.372045318521373
94,4,1.5849914482307461
95,4,1.7091594703487871
96,3,2.710405399798249
97,4,2.704569388321245
98,4,3.9265906705618288
99,4,4.798578592565494
100,4,2.2182358667677002
101,3,3.458952466282247
102,2,3.8740387128511737
103,3,4.025944740455934
104,4,1.2835925085438296
105,4,1.9333865584074912
106,3,1.7271723796067193
107,1,4.074303151615305
108,3,1.7253218440246483
109,2,5.935168506047092
110,3,1.3916647337686177
111,4,1.719262308034331
112,3,4.541950625328811
113,1,2.254040914935547
114,3,2.9462721744378744
115,3,1.7151318967293117
116,3,2.8506031971430685
117,4,2.037025928783312
118,4,4.14291132021812
119,4,1.8170316300148268
120,2,4.662382435482296
121,4,2.2646818457768325
122,2,5.6652962394754764
123,4,1.5600975386691287
124,1,5.887644660369985
125,2,8.420126878720055
126,4,2.789899727474373
127,3,2.0985524458251468
128,1,4.626323123087965
129,4,4.2324490561662556
130,4,2.5111882392904907
131,3,2.5577816087927756
132,4,1.9528301784643172
133,1,5.90871391255834
134,3,1.6963174304169402
135,4,1.8154144245254409
136,2,4.7579369822860365
137,3,1.889134819446659
138,2,18.567310003128473
139,3,3.365777950670101
140,4,1.5743813959685473
141,4,1.496858535296539
142,1,1.9631857081132724
143,1,6.5559198787065
144,2,2.6003129138884167
145,4,2.080532464838503
146,3,2.3073371702837084
147,4,1.9435459641749901
148,3,1.8852903860934251
149,3,2.8676736589864977
150,1,7.463382145444467
151,3,3.529297125302387
152,3,3.098314264694689
153,2,10.19895911328527
154,3,2.7073811754739143
155,4,5.5733967765283525
156,1,4.881903845148348
157,4,1.6743983453185198
158,2,2.816890825853719
159,4,1.2667099126000954
160,4,2.1345087904681153
161,4,2.38461841300101
162,3,1.7737575950606879
163,4,1.357322680147858
164,3,4.602367039004392
165,4,2.813412428636633
166,3,3.271897852109891
167,2,4.407658639363855
168,3,2.0406622627568605
169,3,1.7235759702845355
170,4,2.7511617295898416
171,2,4.9593933972820015
172,4,3.3222915525363734
173,4,4.031102612040406
174,2,5.050513924623467
175,4,1.3312116418907463
176,3,3.242985304275128
177,1,2.332019111268963
178,3,5.520734121031261
179,4,2.136298606767453
180,3,2.7231227927986787
181,4,3.5511913001855726
182,1,8.352874233894152
183,4,3.9497390057191017
184,3,2.3076380735431052
185,3,2.278465422771151
186,4,1.632619299557526
187,3,1.6542643297989974
188,4,1.805864246384322
189,4,1.5997638463355495
190,4,1.4423086803829104
191,4,1.5787031303830215
192,4,2.0429270792846146
193,3,4.556521952589609
194,4,2.6069711199334686
195,3,4.291848253839725
196,3,3.940964518139672
197,3,4.024724565867218
198,4,1.9560918859430239
199,1,2.2283771527350784
200,4,5.702345634943937
201,4,1.9634776623378098
202,3,2.4187942190351386
203,1,4.382844102025306
204,2,3.2649307869022093
205,4,3.1537660860543264
206,4,2.317483674775599
207,1,2.2888437570897513
208,1,3.111036170167742
209,4,1.9301178555932978
210,1,3.8386742648130836
211,4,2.732018854413526
212,4,2.0171254865640145
213,3,2.821835018637151
214,4,1.267529675348925
215,4,3.0250406195466955
216,3,1.6896389301700758
217,4,2.731362203042612
218,1,3.139669370012295
219,2,3.308899433125909
220,2,6.07871651271488
221,3,3.4668487028941377
